市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯
千代田区丸の内１丁目,418,1,1,0,49,0,34,11,2,2,2,0,0,1,0,0,0,0,1,186,0,0,3,1,0,0,13,0,28,74,67,180,52,32,3,0,93
千代田区丸の内２丁目,58,0,0,0,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2,1,0,0,0,0,1,15,10,23,11,3,0,0,9
千代田区丸の内３丁目,37,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,1,4,28,21,1,3,0,3
千代田区大手町１丁目,46,0,0,0,7,0,6,1,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,2,6,7,23,11,3,1,0,8
千代田区大手町２丁目,20,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,1,11,1,3,1,0,6
千代田区内幸町１丁目,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,1,0,0,4,3,7,4,1,0,0,2
千代田区内幸町２丁目,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,9,6,1,0,0,2
千代田区有楽町１丁目,82,1,0,1,9,0,6,2,1,0,0,0,0,0,0,0,0,0,0,47,0,0,2,3,0,0,2,1,7,21,11,25,3,6,2,0,14
千代田区有楽町２丁目,124,0,0,0,12,0,9,2,0,1,0,0,0,0,0,0,0,0,0,99,0,0,4,0,0,0,3,0,7,68,17,13,1,8,0,0,4
千代田区霞が関１丁目,25,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,18,4,0,2,0,12
千代田区霞が関２丁目,8,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2
